Album Name,Artists,Release Date,Popularity,Image URL
Lowdown,Michael Kiwanuka,2024-09-12,32,https://i.scdn.co/image/ab67616d0000b273f56205cf7b5f47de7f01df7c
Facce,Rosapaeda,1998-10-22,1,https://i.scdn.co/image/ab67616d0000b273883973cf85bb32043dd7d7a4
Antologia,Nuova Compagnia Di Canto Popolare,1999-01-01,25,https://i.scdn.co/image/ab67616d0000b273745e1577f8e704121b45c0f4
Shadows,Floating Points,2011-11-21,29,https://i.scdn.co/image/ab67616d0000b27379b8d29aef430e2a00ce8b63
Liquid Spirit,Gregory Porter,2014-11-01,40,https://i.scdn.co/image/ab67616d0000b2731a5b559ef8a73cf7d08c8593
Brave Faces Everyone,Spanish Love Songs,2020-02-07,38,https://i.scdn.co/image/ab67616d0000b273b649f5aac1135562aa25fc49
How You Sell Soul to a Soulless People Who Sold Their Soul?,Public Enemy,2007-08-07,50,https://i.scdn.co/image/ab67616d0000b2732acb820332d5f37cd536cc98
It Takes A Thief: The Very Best Of Thievery Corporation,Thievery Corporation,2010-09-21,30,https://i.scdn.co/image/ab67616d0000b273df75125e64cf690b8c687923
Bando Stone and The New World,Childish Gambino,2024-07-19,62,https://i.scdn.co/image/ab67616d0000b27305c9a49574cc249f1c5405ab
Rags To Rufus,Rufus & Chaka Khan,1974-01-01,42,https://i.scdn.co/image/ab67616d0000b27342291128b404448866c8a557
...Nothing Like The Sun,Sting,1987-10-16,63,https://i.scdn.co/image/ab67616d0000b273d0c7c131a979c9e5436f89ce
From The Mind Of,Pat Bedeau,2019-05-10,1,https://i.scdn.co/image/ab67616d0000b2736b9b494f51ffac59a0d98875
What Kinda Music,"Tom Misch, Yussef Dayes",2020-04-24,55,https://i.scdn.co/image/ab67616d0000b273bd93bbf0c3df5e0242b84831
A Sky Without Stars,ELIZA,2022-09-16,50,https://i.scdn.co/image/ab67616d0000b273c50440b59d005da681b8cfc6
Unknown Pleasures,Joy Division,1979-06-15,46,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772
Black Classical Music,Yussef Dayes,2023-09-08,52,https://i.scdn.co/image/ab67616d0000b2738d4db6f2356f933e0321633f
Gentleman,Fela Kuti,1973-01-01,31,https://i.scdn.co/image/ab67616d0000b273b39f685cb46d3f597f6c5042
Ta Tragoudia Tou Alekou Sakellariou,Various Artists,2004-11-15,10,https://i.scdn.co/image/ab67616d0000b273f134b99427ed6a22828a580f
Could We Be More,Kokoroko,2022-08-05,44,https://i.scdn.co/image/ab67616d0000b2739a791fef4cb18f269cdcd9e3
TO XERI,K. BHTA,2024-05-17,16,https://i.scdn.co/image/ab67616d0000b2739ccdbc6726e68ded83925ba0
ALPHA,Charlotte Day Wilson,2021-07-09,45,https://i.scdn.co/image/ab67616d0000b27399b7a2975680d936013daf4b
It's a Process,Coco O.,2021-04-30,31,https://i.scdn.co/image/ab67616d0000b2733b32e0fdc9a6e9f161bee318
Multi-Love,Unknown Mortal Orchestra,2015-05-26,47,https://i.scdn.co/image/ab67616d0000b273dad8074eb0c60a82d1d8973c
Grammes Ton Orizodon,Thanos Mikroutsikos,2003-11-03,30,https://i.scdn.co/image/ab67616d0000b273138719dec8913fae6f79b381
Das andere Gesicht,Costa Cordalis,1999-06-28,9,https://i.scdn.co/image/ab67616d0000b2733bc2b5bc6f68e7835049bca9
Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,72,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
2.0 (Mousiki Apo Tin Parastasi Tou Dimitri Papaioannou),K. BHTA,2006-12-08,21,https://i.scdn.co/image/ab67616d0000b273525ccaae78d934faf6f1498a
Meta,"Dimitra Galani, K. BHTA",2001,14,https://i.scdn.co/image/ab67616d0000b273b32add7feb502f48942d23d1
Aura,Katerina Papadopoulou,2024-01-19,2,https://i.scdn.co/image/ab67616d0000b273e958cf9cfddbbaa5330e745d
The Archer,Alexandra Savior,2020-01-10,48,https://i.scdn.co/image/ab67616d0000b27386e1d809ad483a6f471d5fc4
Λύκοι στον Άρη,"Pan Pan, Years Of Youth",2024-01-19,26,https://i.scdn.co/image/ab67616d0000b27307b079c75317d3fbdcfd3a7d
Antikatoptrismoi,"Manos Hadjidakis, Aliki Kagialoglou",1993-01-01,15,https://i.scdn.co/image/ab67616d0000b27301a77d325161e6a620480cd9
Paolo Conte Live (Apo Ti Sinavlia Sto Pallas),"Haris Alexiou, Paolo Conte",2014-01-01,3,https://i.scdn.co/image/ab67616d0000b27328979d965409d7c692aed576
Afro Fado,Slow J,2023-11-24,54,https://i.scdn.co/image/ab67616d0000b273f19929189af1ce50e3df2c50
Kimosabè,DOPE LEMON,2023-09-29,0,https://i.scdn.co/image/ab67616d0000b273b50dcc056ab7d9a180539f57
SOMNUM,HÆLOS,2023-07-05,16,https://i.scdn.co/image/ab67616d0000b273ce6ced340b310d7dde503348
The world within our bedrooms,Drug Store Romeos,2021-07-09,37,https://i.scdn.co/image/ab67616d0000b273e8b06a04041f9e15c81b91b2
Now You're Moving,Drug Store Romeos,2019-10-03,19,https://i.scdn.co/image/ab67616d0000b273e74681db0cca412656464460
The Budos Band,The Budos Band,2005-11-29,51,https://i.scdn.co/image/ab67616d0000b2737f32595bfa8417eb2489c10d
The Callas,The Callas,2009-04-01,2,https://i.scdn.co/image/ab67616d0000b27380c8f09360e4c4ab1a85d057
Είμαι Ένα Ξενοδοχείο,The Callas,2020-10-23,13,https://i.scdn.co/image/ab67616d0000b27367b45fa68474b968bb8a97b0
Plaisirs d'amour,René Aubry,1998-10-09,46,https://i.scdn.co/image/ab67616d0000b2736219cb49fe3b85a56c416e5e
Movement in Place,Whereswilder,2021-11-12,3,https://i.scdn.co/image/ab67616d0000b273f92fa9cd88ad4328c30b9c57
Manos Loizos Meta,Manos Loizos,2022-09-16,0,https://i.scdn.co/image/ab67616d0000b273e1444f5679bd9ea149f3ba45
Nebraska,Bruce Springsteen,1982-09-30,47,https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e
Powell & Pratt,"Baden Powell, Jimmy Pratt",2020-10-01,20,https://i.scdn.co/image/ab67616d0000b27325dba589353cc295b5d84ea3
Nicostratos le Pelican (Original Soundtrack),"Panagiotis Kalantzopoulos, Panayotis Κalantzopoulos",2011-06-01,0,https://i.scdn.co/image/ab67616d0000b2734bc656b104ed8cd71e24f743
falling or flying,Jorja Smith,2023-09-29,53,https://i.scdn.co/image/ab67616d0000b273c2ac5aca1a22a5668148f233
Born Again,"Danger Mouse, Jemini the Gifted One",2004-08-25,23,https://i.scdn.co/image/ab67616d0000b273e53f103c3dc2221e9f433685
Samba Tsikita,Rena Morfi,2020-02-28,29,https://i.scdn.co/image/ab67616d0000b273ee9ca8f236bdd33e27ead430
Souli Anatoli,Rena Morfi,2016-05-27,30,https://i.scdn.co/image/ab67616d0000b27354e8b6050925172e396b3851
30 Nihterina (Remastered),Manos Hadjidakis,1983-11-21,37,https://i.scdn.co/image/ab67616d0000b2738f7ab580a77a484f7f8acd1c
The Classical Mikis Theodorakis,Mikis Theodorakis,2021-03-08,1,https://i.scdn.co/image/ab67616d0000b2733909e69ca520413b4e81717d
Beethoven for Three: Symphonies Nos. 2 and 5,"Ludwig van Beethoven, Yo-Yo Ma, Leonidas Kavakos, Emanuel Ax",2022-03-04,11,https://i.scdn.co/image/ab67616d0000b273a4c28af5065bfdb614fc486e
Aquamarine (feat. Michael Kiwanuka),"Danger Mouse, Black Thought, Michael Kiwanuka",2022-07-13,0,https://i.scdn.co/image/ab67616d0000b2738349eaa4621482a6c1bb26ba
The New Abnormal,The Strokes,2020-04-10,71,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b
Mediterraneo,Jovanotti,2022-04-01,2,https://i.scdn.co/image/ab67616d0000b273b34574ebc559227370cf55ac
Jazzmatazz Volume 1,Guru,1993-01-01,51,https://i.scdn.co/image/ab67616d0000b273423fc787b53e081679cfc4c0
La Leyenda Del Tiempo (Edicion 35º Aniversario),Camaron De La Isla,2013-01-01,38,https://i.scdn.co/image/ab67616d0000b2739a79a591e5b5a7a3d49b4b1f
Bar Mediterraneo,Nu Genea,2022-07-15,42,https://i.scdn.co/image/ab67616d0000b273c1525d75c3db0cd719cdf063
Easter Holiday in Spain. Drum and Trumpet Band,Various Artists,2012-03-06,0,https://i.scdn.co/image/ab67616d0000b273775e5ae9ca934975dc81d9bc
Lost Souls,Spaccanapoli,2000,24,https://i.scdn.co/image/ab67616d0000b273e61ac79c84fa1b1177ca3e8f
"Manouche De Grec, Vol. II",Gadjo Dilo,2016-10-31,26,https://i.scdn.co/image/ab67616d0000b273f21386974e166aa8cb2aad84
Nuova Napoli,Nu Genea,2018-05-01,44,https://i.scdn.co/image/ab67616d0000b273cc9c8da874cc0aa82d67f7b2
Dance Fever,Florence + The Machine,2022-05-13,60,https://i.scdn.co/image/ab67616d0000b2735fd9e21618182df7d70b2186
Pame Mia Volta Sto Fegari,Manos Hadjidakis,1984,11,https://i.scdn.co/image/ab67616d0000b2730ff076d4c92406885cf8512a
Us - A COLORS SHOW,FKJ,2022-10-24,40,https://i.scdn.co/image/ab67616d0000b273748ed78714552066d38993aa
Mordechai Remixes,Khruangbin,2021-08-06,40,https://i.scdn.co/image/ab67616d0000b27357ff9ea563f7203f2c7d4141
